
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000
"Year",2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000
"Objective function (2019$)",2899.7461035767
"Industrial CO2 GtCO2/yr",37.3362001005,38.1479282098,35.3986600671,36.4432726139,37.2197828260,37.7113432932,37.8988329438,38.4117493762,38.7768459314,39.0080195655,39.1253782993,39.1578288804,39.1467196745,39.1508863299,39.2536241219,39.5722387280,40.2706004323,42.1054866979,44.8855620818,48.9724574821,54.7971710587,62.7689876396,72.9481048188,83.9029648862,94.8996289263
"Atmospheric concentration C (ppm)",416.2031931455,429.9230953785,441.7050439715,454.0523692317,466.6496414715,479.3648732549,492.0779078873,505.0245616280,518.1272970665,531.3363788368,544.6155856542,557.9430772957,571.3169686457,584.7642719102,598.3538204473,612.2145013753,626.5604532007,642.0111709964,659.0514885698,678.3764039490,700.9202685847,727.8425344077,760.3320168024,798.7625756579,843.1860672078
"Atmospheric concentrations GtC",886.5128014000,915.7361931562,940.8317436593,967.1315464635,993.9637363344,1021.0471800329,1048.1259438000,1075.7023162677,1103.6111427516,1131.7464869223,1160.0311974434,1188.4187546399,1216.9051432153,1245.5478991687,1274.4936375527,1304.0168879294,1334.5737653175,1367.4837942223,1403.7796706536,1444.9417404113,1492.9601720854,1550.3045982883,1619.5071957892,1701.3642861512,1795.9863231526
"Atmospheric temperaturer (deg c above preind) ",1.2471500000,1.4248788305,1.5483743568,1.6539924893,1.7543676548,1.8525630738,1.9489322681,2.0443476050,2.1390720817,2.2329620248,2.3258280194,2.4175392489,2.5080686050,2.5975302991,2.6862259692,2.7747067247,2.8638562314,2.9494619004,3.0377813106,3.1326047668,3.2374713976,3.3561617837,3.4922195633,3.6468017306,3.8194529659
"Total forcings w/m2",2.7918384643,3.0140230440,3.2012771539,3.3802741112,3.5574438090,3.7308529433,3.8988848003,4.0640705405,4.2265078992,4.3855737223,4.5408830280,4.6922812192,4.8398864300,4.9841622677,5.1260231934,5.2669807592,5.4093393343,5.5390362454,5.6798324709,5.8377389579,6.0201630424,6.2353988905,6.4906587452,6.7857713135,7.1177060341
"Forcings, exogenous w/m2",-0.0540000000,-0.0340625000,-0.0141250000,0.0058125000,0.0257500000,0.0456875000,0.0656250000,0.0855625000,0.1055000000,0.1254375000,0.1453750000,0.1653125000,0.1852500000,0.2051875000,0.2251250000,0.2450625000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000
"CO2 forcings w/m2",2.3278384643,2.5117254440,2.6650138891,2.8213311984,2.9764918558,3.1289145807,3.2773214093,3.4245659609,3.5697914015,3.7125246787,3.8524828918,3.9895600056,4.1238616155,4.2557673017,4.3860219165,4.5158627592,4.6471895866,4.7853082061,4.9338338319,5.0976944304,5.2830503420,5.4967481002,5.7443505953,6.0239197802,6.3307910327
