
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000
"Year",2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000
"Objective function (2019$)",2617.6619473353
"Industrial CO2 GtCO2/yr",37.3362001005,31.0318479933,24.5091385455,21.2709274505,18.6439314204,15.8941839632,12.5430904920,8.1165778490,5.6545737530,3.1265957288,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,50.0839323104,52.5458987732,56.1335375161,61.2988870015,68.4216081509,77.5366932615,87.2170725100,96.4105030293
"Atmospheric concentration C (ppm)",416.2031931455,426.3683980697,433.1284984372,438.4763780484,442.6419945419,445.5599400234,446.9606573638,446.3648869006,445.0551868777,442.8970572331,439.5589637274,436.8452142038,434.4865353963,432.3880161985,430.5010238387,428.7920993198,427.2348793889,453.0555550824,475.9425852839,499.2616260526,524.5167327906,552.9566361164,585.7270190111,623.1674564417,665.1387144272
"Atmospheric concentrations GtC",886.5128014000,908.1646878884,922.5637016711,933.9546852432,942.8274483741,949.0426722498,952.0262001850,950.7572090983,947.9675480495,943.3707319065,936.2605927394,930.4803062540,925.4563203940,920.9864745028,916.9671807765,913.3271715511,910.0102930983,965.0083323256,1013.7577066547,1063.4272634920,1117.2206408440,1177.7976349280,1247.5985504937,1327.3466822207,1416.7454617300
"Atmospheric temperaturer (deg c above preind) ",1.2471500000,1.4099097607,1.5084211548,1.5780155545,1.6309916368,1.6708987863,1.6978394227,1.7099828742,1.7119370639,1.7068336277,1.6944298841,1.6818238310,1.6720561132,1.6654283866,1.6616521955,1.6603510710,1.6611722709,1.7692981708,1.9168418950,2.0719659226,2.2314565454,2.3987112015,2.5779916753,2.7707774343,2.9762513452
"Total forcings w/m2",2.7918384643,2.9669491012,3.0901045007,3.1804306857,3.2445856694,3.2828044164,3.2925246306,3.2683076169,3.2268130490,3.1738765474,3.1059910208,3.0458887379,2.9964478745,2.9556291826,2.9220929301,2.8947887302,2.8728399968,3.1872448232,3.5227401570,3.8414758387,4.1629901369,4.5009681627,4.8655256796,5.2570881222,5.6714201334
"Forcings, exogenous w/m2",-0.0540000000,-0.0340625000,-0.0141250000,0.0058125000,0.0257500000,0.0456875000,0.0656250000,0.0855625000,0.1055000000,0.1254375000,0.1453750000,0.1653125000,0.1852500000,0.2051875000,0.2251250000,0.2450625000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000
"CO2 forcings w/m2",2.3278384643,2.4646515012,2.5538412358,2.6234180446,2.6770279879,2.7142812327,2.7320775319,2.7245150149,2.7078545613,2.6802941394,2.6373993456,2.6022866806,2.5715905657,2.5441397897,2.5193420003,2.4967903047,2.4761621649,2.8088702100,3.0882915496,3.3594948641,3.6392824663,3.9386602324,4.2650942854,4.6164026748,4.9859616071
