"Results of DICE2023-b-4-3-10.csv: October 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
Year,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,,,,,,
Objective function (2019$),2899.746104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial CO2 GtCO2/yr,37.3362001,38.14792821,35.39866007,36.44327261,37.21978283,37.71134329,37.89883294,38.41174938,38.77684593,39.00801957,39.1253783,39.15782888,39.14671967,39.15088633,39.25362412,39.57223873,40.27060043,42.1054867,44.88556208,48.97245748,54.79717106,62.76898764,72.94810482,83.90296489,94.89962893,,,,,,
Atmospheric concentration C (ppm),416.2031931,429.9230954,441.705044,454.0523692,466.6496415,479.3648733,492.0779079,505.0245616,518.1272971,531.3363788,544.6155857,557.9430773,571.3169686,584.7642719,598.3538204,612.2145014,626.5604532,642.011171,659.0514886,678.3764039,700.9202686,727.8425344,760.3320168,798.7625757,843.1860672,,,,,,
Atmospheric concentrations GtC,886.5128014,915.7361932,940.8317437,967.1315465,993.9637363,1021.04718,1048.125944,1075.702316,1103.611143,1131.746487,1160.031197,1188.418755,1216.905143,1245.547899,1274.493638,1304.016888,1334.573765,1367.483794,1403.779671,1444.94174,1492.960172,1550.304598,1619.507196,1701.364286,1795.986323,,,,,,
Atmospheric temperaturer (deg c above preind) ,1.24715,1.424878831,1.548374357,1.653992489,1.754367655,1.852563074,1.948932268,2.044347605,2.139072082,2.232962025,2.325828019,2.417539249,2.508068605,2.597530299,2.686225969,2.774706725,2.863856231,2.9494619,3.037781311,3.132604767,3.237471398,3.356161784,3.492219563,3.646801731,3.819452966,,,,,,
Total forcings w/m2,2.791838464,3.014023044,3.201277154,3.380274111,3.557443809,3.730852943,3.8988848,4.064070541,4.226507899,4.385573722,4.540883028,4.692281219,4.83988643,4.984162268,5.126023193,5.266980759,5.409339334,5.539036245,5.679832471,5.837738958,6.020163042,6.235398891,6.490658745,6.785771314,7.117706034,,,,,,
"Forcings, exogenous w/m2",-0.054,-0.0340625,-0.014125,0.0058125,0.02575,0.0456875,0.065625,0.0855625,0.1055,0.1254375,0.145375,0.1653125,0.18525,0.2051875,0.225125,0.2450625,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,,,,,,
CO2 forcings w/m2,2.327838464,2.511725444,2.665013889,2.821331198,2.976491856,3.128914581,3.277321409,3.424565961,3.569791402,3.712524679,3.852482892,3.989560006,4.123861616,4.255767302,4.386021917,4.515862759,4.647189587,4.785308206,4.933833832,5.09769443,5.283050342,5.4967481,5.744350595,6.02391978,6.330791033,,,,,,
Actual other abatable GHG forcings w/m2,0.518,0.5363601,0.550388265,0.553130413,0.555201953,0.556250863,0.555938391,0.55394208,0.551216498,0.547611544,0.543025136,0.537408714,0.530774815,0.523207466,0.514876277,0.5060555,0.497149748,0.488728039,0.480998639,0.475044528,0.472112701,0.47365079,0.48130815,0.496851533,0.521915001,,,,,,
Carbon price (2019 $ per t CO2),5.76033287,16.61042901,56.20498912,64.40594838,73.41349654,83.24626046,93.89466246,105.3105413,117.4198616,130.1022897,143.1858441,156.4361563,169.5428935,182.1030309,193.6003797,203.3813619,210.6301383,211.4189592,207.6846664,198.3828309,182.5039911,159.378784,129.2288641,93.94796882,36.05422858,,,,,,
Emissions control rate,0.05,0.1,0.221025796,0.248304226,0.27802703,0.310296401,0.345160467,0.37198254,0.399414015,0.427189019,0.454974143,0.482355288,0.508818915,0.533726673,0.556280994,0.575479005,0.590055014,0.593286288,0.588551263,0.573724964,0.546280998,0.503497251,0.44303181,0.364122066,0.200746128,,,,,,
Social cost of carbon $/tCO2,42.51815162,50.02135485,58.20983794,67.06360648,76.65538466,86.97861757,97.9931051,109.6163918,121.743444,134.2216464,146.8498401,159.3709531,171.4627377,182.7265928,192.6739976,200.7102848,206.1173947,208.054867,205.6579088,197.9119309,183.8061041,162.6066601,134.3821265,100.9435425,43.44284341,,,,,,
"Output, net net trill 2019$",134.1579375,155.6702947,178.8681579,204.178271,231.6455843,261.4105117,293.6276822,328.4934747,366.1884871,406.9237383,450.9314683,498.4659194,549.8039425,605.244794,665.1077053,729.7240376,799.4168295,874.6306602,955.4221382,1041.498385,1131.636576,1222.370143,1304.474022,1351.047633,1247.614342,,,,,,
"Short Interest rate, %/yr",0,0.045555579,0.044496932,0.043694046,0.042945819,0.042229801,0.041539543,0.040863329,0.040198339,0.039544545,0.038902155,0.038271574,0.0376536,0.037049851,0.036463617,0.035901683,0.035378186,0.034930717,0.034594391,0.034490154,0.034882919,0.036367931,0.040420872,0.051601633,0.003932356,,,,,,
Population,7752.9,8137.367351,8481.170608,8786.618185,9056.484469,9293.783346,9501.598425,9682.961394,9840.769456,9977.73328,10096.34803,10198.88121,10287.37242,10363.64102,10429.29892,10485.76619,10534.2881,10575.95234,10611.70592,10642.37106,10668.66003,10691.18858,10710.48822,10727.01703,10741.16939,,,,,,
TFP,5.84,6.25267666,6.690981812,7.156263364,7.649925133,8.173428357,8.728293215,9.316100334,9.938492304,10.59717519,11.29392004,12.03056437,12.80901367,13.63124285,14.49929775,15.41529653,16.38143116,17.39996876,18.47325304,19.60370563,20.79382742,22.04619987,23.36348625,24.74843292,26.20387049,,,,,,
"Output, gross-gross, 2019$",134.8914365,156.8116782,180.6686941,206.5441287,234.6973502,265.2954424,298.5173758,334.5546661,373.6355775,415.9974469,461.8987838,511.6196114,565.4613034,623.7454767,686.8107063,755.0041916,828.661814,908.0615506,993.4109166,1084.480315,1180.124046,1276.958835,1365.708825,1418.555293,1314.49813,,,,,,
"Change TFP, %/year",0.066,0.065506852,0.065017388,0.064531582,0.064049405,0.063570832,0.063095834,0.062624385,0.062156459,0.06169203,0.06123107,0.060773555,0.060319458,0.059868755,0.059421419,0.058977425,0.058536749,0.058099365,0.05766525,0.057234379,0.056806726,0.05638227,0.055960985,0.055542847,0.055127834,,,,,,
"Capital stock, 2019$",295,346.666829,402.636666,462.9183201,528.7667798,600.6698408,679.1130241,764.5818427,857.7444631,959.2403216,1069.769728,1190.094267,1321.03277,1463.449263,1618.222957,1786.177173,1967.914251,2163.435392,2372.027301,2589.337984,2803.63219,2985.954691,3065.58434,2861.174089,1828.920277,,,,,,
